0	17
0.18	17
0.36	19
0.54	19
0.72	20
0.9	20
1.08	22
1.26	20
1.44	20
1.62	19
1.8	19
1.98	17
2.16	17
2.34	19
2.52	17
2.7	17
2.88	19
3.06	19
3.24	20
3.42	20
3.6	22
3.78	20
3.96	20
4.14	19
4.32	19
4.5	15
4.68	15
4.86	19
5.04	17
5.22	17
5.4	19
5.58	19
5.76	20
5.94	20
6.12	22
6.3	20
6.48	20
6.66	19
6.84	19
7.02	17
7.2	17
7.38	19
7.56	17
7.74	17
7.92	19
8.1	19
8.28	20
8.46	20
8.64	22
8.82	20
9	20
9.18	19
9.36	19
9.54	17
9.54	29
9.9	27
10.08	17
10.08	29
10.44	19
10.44	29
10.8	20
10.8	29
11.16	22
11.16	29
11.34	20
11.34	29
11.7	19
11.7	29
12.06	17
12.06	29
12.42	27
12.6	17
12.6	29
12.96	19
12.96	29
13.32	20
13.32	29
13.68	22
13.68	29
13.86	20
13.86	29
14.22	19
14.22	29
14.58	17
14.58	29
14.94	27
15.12	17
15.12	29
15.48	19
15.48	29
15.84	20
15.84	29
16.2	22
16.2	29
16.38	20
16.38	29
16.74	19
16.74	29
17.1	17
17.1	29
17.46	27
17.64	17
17.64	29
18	19
18	29
18.36	20
18.36	29
18.72	22
18.72	29
18.9	20
18.9	29
19.26	19
19.26	29
19.62	17
19.62	29
19.98	15
19.98	27
20.16	17
20.16	29
20.34	20
20.52	24
20.52	29
20.88	25
20.88	29
21.24	17
21.24	29
21.42	23
21.42	29
21.78	23
21.78	29
22.14	24
22.14	29
22.5	17
22.5	29
22.68	17
22.68	29
22.86	20
23.04	24
23.04	29
23.4	25
23.4	29
23.76	17
23.76	29
23.94	23
23.94	29
24.3	23
24.3	29
24.66	24
24.66	29
25.02	17
25.02	29
25.2	17
25.2	29
25.38	20
25.56	24
25.56	29
25.92	25
25.92	29
26.28	17
26.28	29
26.46	26
26.46	29
26.82	26
26.82	29
27.18	25
27.18	29
27.54	17
27.54	29
27.72	17
27.72	29
27.9	20
28.08	24
28.44	17
28.44	20
28.44	25
28.8	14
28.8	17
28.8	22
29.16	14
29.16	17
29.16	22
29.52	13
29.52	17
29.52	25
30	-1
